GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,Sparsity,GroupNumber,SolverUsed,SolverRuntime,GroupSize,
brc202d,481,530,8,211779,1,390625,0.830734,429.5,952,94,366.7222,278.1111,0.009461421,0.000185395471715603,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001137567,2.31744339644504E-05,0,ICTS 3E ,26,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001733809,2.31744339644504E-05,0,ICTS 3E ,5,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001376849,2.31744339644504E-05,0,ICTS 3E ,11,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.0003726513,2.31744339644504E-05,0,ICTS 3E ,1,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001047346,2.31744339644504E-05,0,ICTS 3E ,20,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003738281,2.31744339644504E-05,0,ICTS 3E ,21,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001019888,2.31744339644504E-05,0,ICTS 3E ,4,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003083199,2.31744339644504E-05,0,ICTS 3E ,20,1,
brc202d,481,530,2,211779,0,25,0.830734,0,0,0,0,0,0.001412152,4.63488679289008E-05,1,ICTS 3E ,409,2,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001137567,2.31744339644504E-05,0,EPEA*,3,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001733809,2.31744339644504E-05,0,EPEA*,6,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001376849,2.31744339644504E-05,0,EPEA*,5,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.0003726513,2.31744339644504E-05,0,EPEA*,4,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001047346,2.31744339644504E-05,0,EPEA*,14,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003738281,2.31744339644504E-05,0,EPEA*,17,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001019888,2.31744339644504E-05,0,EPEA*,3,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003083199,2.31744339644504E-05,0,EPEA*,22,1,
