GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,Sparsity,GroupNumber,SolverUsed,SolverRuntime,GroupSize,
brc202d,481,530,13,211779,1,1220703125,0.830734,564.461538461538,1005,94,430.022,373.1868,0.01230142,0.000301267641537855,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001137567,2.31744339644504E-05,0,ICTS 3E ,2700,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001733809,2.31744339644504E-05,0,ICTS 3E ,1047,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001376849,2.31744339644504E-05,0,ICTS 3E ,1238,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.0003726513,2.31744339644504E-05,0,ICTS 3E ,744,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001047346,2.31744339644504E-05,0,ICTS 3E ,2928,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003738281,2.31744339644504E-05,0,ICTS 3E ,475,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001019888,2.31744339644504E-05,0,ICTS 3E ,1622,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003083199,2.31744339644504E-05,0,ICTS 3E ,901,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003946181,2.31744339644504E-05,0,ICTS 3E ,2002,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001737732,2.31744339644504E-05,0,ICTS 3E ,1266,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.002400659,2.31744339644504E-05,0,ICTS 3E ,1208,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003824579,2.31744339644504E-05,0,ICTS 3E ,1715,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003416624,2.31744339644504E-05,0,ICTS 3E ,1218,1,
brc202d,481,530,2,211779,0,25,0.830734,0,0,0,0,0,0.001412152,4.63488679289008E-05,0,ICTS 3E ,2255,2,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001137567,2.31744339644504E-05,0,EPEA*,857,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001733809,2.31744339644504E-05,0,EPEA*,950,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001376849,2.31744339644504E-05,0,EPEA*,961,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.0003726513,2.31744339644504E-05,0,EPEA*,2898,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001047346,2.31744339644504E-05,0,EPEA*,1468,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003738281,2.31744339644504E-05,0,EPEA*,1388,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001019888,2.31744339644504E-05,0,EPEA*,1554,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003083199,2.31744339644504E-05,0,EPEA*,1826,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003946181,2.31744339644504E-05,0,EPEA*,1313,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001737732,2.31744339644504E-05,0,EPEA*,1108,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.002400659,2.31744339644504E-05,0,EPEA*,2038,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003824579,2.31744339644504E-05,0,EPEA*,1494,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003416624,2.31744339644504E-05,0,EPEA*,920,1,
