GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,Sparsity,ICTS 3E +ID+AS Success,ICTS 3E +ID+AS Runtime,ICTS 3E +ID+AS Solution Cost,ICTS 3E +ID+AS Expanded,ICTS 3E +ID+AS Generated,ICTS 3E +ID+AS Max Group Size,ICTS 3E +ID+AS Min Group Size,ICTS 3E +ID+AS Max Group,ICTS 3E +ID+AS Solution Depth,EPEA*+ID+AS Success,EPEA*+ID+AS Runtime,EPEA*+ID+AS Solution Cost,EPEA*+ID+AS Expanded,EPEA*+ID+AS Generated,EPEA*+ID+AS Max Group Size,EPEA*+ID+AS Min Group Size,EPEA*+ID+AS Max Group,EPEA*+ID+AS Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,
Berlin_1_256,256,256,2,17996,1,25,0.2745972,187.5,350,25,48.33333,67.33334,0.005752563,4.20698359276399E-05,1,560.6298,375,375,957,1,1,1,0,1,30.3361,375,375,957,1,1,1,0,1,27.77,375,375,957,1,1,1,0,1,24.309,375,375,957,1,1,1,0,
Berlin_1_256,256,256,3,17996,1,125,0.2745972,197,302,31,68.66666,150.6667,0.008956909,6.31047538914598E-05,1,34.2379999999998,591,591,1466,1,1,1,0,1,37.0513999999998,591,591,1466,1,1,1,0,1,36.3472999999999,591,591,1466,1,1,1,0,1,33.1324000000004,591,591,1466,1,1,1,0,
Berlin_1_256,256,256,4,17996,1,625,0.2745972,76.25,124,9,89.7,108.4,0.004714966,8.41396718552798E-05,1,37.1340999999998,305,305,831,1,1,1,0,1,37.3310999999999,305,305,831,1,1,1,0,1,31.5979000000002,305,305,831,1,1,1,0,1,34.2928999999995,305,305,831,1,1,1,0,
Berlin_1_256,256,256,5,17996,1,3125,0.2745972,188.6,396,104,164.4,116.9333,0.01443481,0.0001051745898191,1,60.7884999999997,943,943,2388,1,1,1,0,1,67.5168999999996,943,943,2388,1,1,1,0,1,52.8175000000001,943,943,2388,1,1,1,0,1,64.6260000000002,943,943,2388,1,1,1,0,
Berlin_1_256,256,256,6,17996,1,15625,0.2745972,271,422,71,126.1905,146,0.02212524,0.00012620950778292,1,95.4701000000005,1626,1626,4082,1,1,1,0,1,104.6381,1626,1626,4082,1,1,1,0,1,110.311300000001,1626,1626,4082,1,1,1,0,1,105.796899999999,1626,1626,4082,1,1,1,0,
Berlin_1_256,256,256,7,17996,1,78125,0.2745972,123.142857142857,313,3,135.2857,162.2143,0.01324463,0.00014724442574674,1,88.3426999999992,862,862,2288,1,1,1,0,1,79.2101999999995,862,862,2288,1,1,1,0,1,82.7019999999993,862,862,2288,1,1,1,0,1,69.4861999999994,862,862,2288,1,1,1,0,
Berlin_1_256,256,256,8,17996,1,390625,0.2745972,190.875,365,14,170.1389,147.9444,0.01934814,0.00016827934371056,1,114.323199999999,1527,1527,3824,1,1,1,0,1,123.223100000003,1527,1527,3824,1,1,1,0,1,124.8629,1527,1527,3824,1,1,1,0,1,110.5906,1527,1527,3824,1,1,1,0,
Berlin_1_256,256,256,9,17996,1,1953125,0.2745972,246.666666666667,440,65,182.7556,141.5556,0.02720642,0.000189314261674379,1,164.296999999999,2220,2221,5710,1,1,1,0,1,165.3387,2220,2221,5710,1,1,1,0,1,167.907300000003,2220,2221,5710,1,1,1,0,1,158.128099999998,2220,2221,5710,1,1,1,0,
Berlin_1_256,256,256,10,17996,1,9765625,0.2745972,191.6,427,14,134.5091,172.1818,0.02326965,0.000210349179638199,1,153.888999999996,1916,1922,4823,1,1,1,0,1,155.691800000001,1916,1922,4823,1,1,1,0,1,155.320799999994,1916,1922,4823,1,1,1,0,1,168.968500000003,1916,1922,4823,1,1,1,0,
Berlin_1_256,256,256,11,17996,1,48828125,0.2745972,200.727272727273,403,20,194.3939,144.1818,0.02929688,0.000231384097602019,1,183.654500000004,2208,2208,5495,1,1,1,0,1,193.211199999998,2208,2208,5495,1,1,1,0,1,192.763800000001,2208,2208,5495,1,1,1,0,1,181.898999999998,2208,2208,5495,1,1,1,0,
