GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,Sparsity,GroupNumber,SolverUsed,SolverRuntime,GroupSize,
brc202d,481,530,11,211779,1,48828125,0.830734,499.454545454545,1005,94,396.9091,322.2121,0.01095203,0.000254918773608955,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001137567,2.31744339644504E-05,0,ICTS 3E ,3551,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001733809,2.31744339644504E-05,0,ICTS 3E ,564,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001376849,2.31744339644504E-05,0,ICTS 3E ,985,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.0003726513,2.31744339644504E-05,0,ICTS 3E ,385,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001047346,2.31744339644504E-05,0,ICTS 3E ,532,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003738281,2.31744339644504E-05,0,ICTS 3E ,1771,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001019888,2.31744339644504E-05,0,ICTS 3E ,1845,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003083199,2.31744339644504E-05,0,ICTS 3E ,4655,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003946181,2.31744339644504E-05,0,ICTS 3E ,1224,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001737732,2.31744339644504E-05,0,ICTS 3E ,1209,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.002400659,2.31744339644504E-05,0,ICTS 3E ,1029,1,
brc202d,481,530,2,211779,0,25,0.830734,0,0,0,0,0,0.001412152,4.63488679289008E-05,1,ICTS 3E ,74079,2,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001137567,2.31744339644504E-05,0,EPEA*,469,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001733809,2.31744339644504E-05,0,EPEA*,998,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001376849,2.31744339644504E-05,0,EPEA*,2977,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.0003726513,2.31744339644504E-05,0,EPEA*,1070,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001047346,2.31744339644504E-05,0,EPEA*,1287,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003738281,2.31744339644504E-05,0,EPEA*,1042,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001019888,2.31744339644504E-05,0,EPEA*,991,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003083199,2.31744339644504E-05,0,EPEA*,1213,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.003946181,2.31744339644504E-05,0,EPEA*,1541,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.001737732,2.31744339644504E-05,0,EPEA*,1825,1,
brc202d,481,530,1,211779,0,5,0.830734,0,0,0,0,0,0.002400659,2.31744339644504E-05,0,EPEA*,1601,1,
brc202d,481,530,2,211779,0,25,0.830734,0,0,0,0,0,0.001412152,4.63488679289008E-05,1,EPEA*,9591,2,
