GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,Sparsity,ICTS 3E +ID+AS Success,ICTS 3E +ID+AS Runtime,ICTS 3E +ID+AS Solution Cost,ICTS 3E +ID+AS Expanded,ICTS 3E +ID+AS Generated,ICTS 3E +ID+AS Max Group Size,ICTS 3E +ID+AS Min Group Size,ICTS 3E +ID+AS Max Group,ICTS 3E +ID+AS Solution Depth,EPEA*+ID+AS Success,EPEA*+ID+AS Runtime,EPEA*+ID+AS Solution Cost,EPEA*+ID+AS Expanded,EPEA*+ID+AS Generated,EPEA*+ID+AS Max Group Size,EPEA*+ID+AS Min Group Size,EPEA*+ID+AS Max Group,EPEA*+ID+AS Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,
warehouse-10-20-10-2-1,63,161,2,4444,1,25,0.4381347,53,96,10,7.666667,36.33333,0.01064774,0.000350938761186173,1,538.63,106,106,180,1,1,1,0,1,18.614,106,106,180,1,1,1,0,1,12.3780999999999,106,106,180,1,1,1,0,1,15.0584,106,106,180,1,1,1,0,
warehouse-10-20-10-2-1,63,161,3,4444,1,125,0.4381347,139.333333333333,171,96,59.33333,43,0.04121069,0.000526408141779259,1,32.3330000000001,418,418,685,1,1,1,0,1,29.9087,418,418,685,1,1,1,0,1,36.7309,418,418,685,1,1,1,0,1,23.7664,418,418,685,1,1,1,0,
warehouse-10-20-10-2-1,63,161,4,4444,1,625,0.4381347,96.25,151,59,40.7,56.2,0.03785862,0.000701877522372346,1,38.8531,385,385,593,1,1,1,0,1,36.3408999999999,385,385,593,1,1,1,0,1,31.3998000000001,385,385,593,1,1,1,0,1,28.9264000000001,385,385,593,1,1,1,0,
warehouse-10-20-10-2-1,63,161,5,4444,1,3125,0.4381347,92.2,171,34,63.6,48.8,0.04584442,0.000877346902965433,1,36.9366,461,461,763,1,1,1,0,1,36.2902999999999,461,461,763,1,1,1,0,1,43.5294000000001,461,461,763,1,1,1,0,1,42.6292000000001,461,461,763,1,1,1,0,
warehouse-10-20-10-2-1,63,161,6,4444,1,15625,0.4381347,60.8333333333333,96,26,51.47619,55.23809,0.03490092,0.00105281628355852,1,40.7430999999999,365,365,562,1,1,1,0,1,47.6215999999999,365,365,562,1,1,1,0,1,51.3566000000001,365,365,562,1,1,1,0,1,42.0498,365,365,562,1,1,1,0,
warehouse-10-20-10-2-1,63,161,7,4444,1,78125,0.4381347,73.1428571428571,113,26,49.5,63,0.04722469,0.00122828566415161,1,49.0612999999998,512,512,767,1,1,1,0,1,68.7212,512,512,767,1,1,1,0,1,55.8688000000002,512,512,767,1,1,1,0,1,57.5291999999999,512,512,767,1,1,1,0,
warehouse-10-20-10-2-1,63,161,8,4444,1,390625,0.4381347,106.75,171,34,78.33334,71.77778,0.08182983,0.00140375504474469,1,68.3085000000001,854,855,1446,1,1,1,0,1,57.0803000000001,854,855,1446,1,1,1,0,1,57.3883000000001,854,855,1446,1,1,1,0,1,55.7672000000002,854,855,1446,1,1,1,0,
warehouse-10-20-10-2-1,63,161,9,4444,1,1953125,0.4381347,91.4444444444444,171,30,68.48889,74.22222,0.07995662,0.00157922442533778,1,216.2653,823,823,1429,2,1,2,0,1,143.2474,823,823,1429,2,1,2,0,1,100.3585,823,823,1428,1,1,1,0,1,69.8744999999999,823,823,1428,1,1,1,0,
warehouse-10-20-10-2-1,63,161,10,4444,1,9765625,0.4381347,91,179,26,70.61818,75.63636,0.07936508,0.00175469380593087,1,73.8696,910,910,1616,1,1,1,0,1,77.8962999999994,910,910,1616,1,1,1,0,1,73.6668999999993,910,910,1616,1,1,1,0,1,94.5228999999999,910,910,1616,1,1,1,0,
warehouse-10-20-10-2-1,63,161,11,4444,1,48828125,0.4381347,108.454545454545,171,26,77.84849,63.09091,0.1057872,0.00193016318652395,1,102.2753,1193,1569,2448,1,1,1,0,1,123.7004,1193,1569,2448,1,1,1,0,1,94.8499000000002,1193,1569,2448,1,1,1,0,1,95.5784000000003,1193,1569,2448,1,1,1,0,
warehouse-10-20-10-2-1,63,161,12,4444,1,244140625,0.4381347,107.166666666667,179,10,81.35897,76.20513,0.1216603,0.00210563256711704,1,104.9723,1286,1469,2436,1,1,1,0,1,101.462,1286,1469,2436,1,1,1,0,1,109.4186,1286,1469,2436,1,1,1,0,1,116.6815,1286,1469,2436,1,1,1,0,
warehouse-10-20-10-2-1,63,161,13,4444,1,1220703125,0.4381347,98.9230769230769,179,10,72.72527,70.46154,0.1236321,0.00228110194771012,1,111.536700000001,1286,1394,2250,1,1,1,0,1,111.36,1286,1394,2250,1,1,1,0,1,117.9864,1286,1394,2250,1,1,1,0,1,107.140600000001,1286,1394,2250,1,1,1,0,
warehouse-10-20-10-2-1,63,161,14,4444,1,6103515625,0.4381347,84.2857142857143,171,10,80.66666,67.98095,0.110421,0.00245657132830321,1,145.893099999999,1180,1449,2367,1,1,1,0,1,156.761400000001,1180,1449,2367,1,1,1,0,1,121.883,1180,1449,2367,1,1,1,0,1,117.651599999999,1180,1449,2367,1,1,1,0,
warehouse-10-20-10-2-1,63,161,15,4444,1,30517578125,0.4381347,95.3333333333333,171,10,77.55,70.3,0.1248151,0.0026320407088963,1,119.3269,1430,1697,2771,1,1,1,0,1,115.677300000001,1430,1697,2771,1,1,1,0,1,129.055899999999,1430,1697,2771,1,1,1,0,1,128.2443,1430,1697,2771,1,1,1,0,
